indonesia,betawi
"receptionist kurang ramah, lift kotor dan bau, air kamar mandi kurang lancar tapi air panas dari shower mantab, kebersihan bantal dan sprei perlu dievaluasi lagi. Amat disayangkan potensi yg sangat baik tidak didukung profesionalisme SDM nya, fungsi kontrolnya perlu ditingkatkan","pelayan kurang ajer, lip kotor ame bau, aer jamban kurang lancar tapi aer panas dari kucuran mantep, keresikan bantal ame sepre kudu diepaluasi lagi. Sayang bener potensi yang bae bener kagak ngedukung propesionalisme SDM nye, pungsi kontrolnye kudu diingetin"
"biar pulpen itu menjadi kenangan dan ingatan bahwa saya pernah datang untuk bertamu dan bercerita hingga menulis. senyum yang tidak akan pernah hilang dan tawa yang selalu akan saya ingat, terima kasih. mari kita menutup hal itu dengan lagu ini : [URL]","biar pulpen ntu jadi kenangan ama ingetan kalo aye perne dateng buat namu ama nyerite ampe nulis. mesem nyang kaga bakal perne ilang ama tawe nyang selalu bakal aye inget, makasih. nyok kite nutup hal ntu make lagu eni : [URL]"
"Kartosoewiryo itu beragama dan mau bunuh Soekarno. Yang bunuh Sayyidina Ali ketika solat subuh itu seorang Hafidz Quran, Ibnu Muljam. Sampai disini sudah jelas belum, bro? [URL]","Kartosoewiryo ntu beragame ame mao bunuh Soekarno. Yang bunuh Sayyidina Ali pas solat subuh ntu seorang Hafidz Quran, Ibnu Muljam. Ampe di sini udeh danta belom, bang? [URL]"
"Setiap yang pergi, Tuhan pasti menggantikannya dengan kebahagiaan yang baru. Entah apa.","Saban nyang pegih, Tuhan mesti ngegantiinnye dengan kebahagiaan nyang baru. Au ape."
"Katakan tidak pada selingkuh, katakan tidak pada mendua ??? ? Katakan Tidak by Afgan ? https://path.com/p/2LMpC ","Katekan kagak pade slingkuh, katekan kagak pade mendue m ??? ? Katakan Tidak oleh Afgan ? https://path.com/p/2LMpC "
inayah_k iyaiya ' sudah tidak-usah sedih gitu,inayah_k iyeiye ' udeh kagak-useh mewek gituh
"Benarkah Bila Hatta Memimpin PAN Selalu Dibawah Bayang-Bayang Demokrat?"""" by @SangPemburu99:  @M4ngU5il ... http://bit.ly/1vMAMmk ","Ape bener kalo Hatta Mimpin PAN Slalu Dibaweh Awang-awang Demokrat?"""" oleh @SangPemburu99:  @M4ngU5il ... http://bit.ly/1vMAMmk "
"Ketika organisasi menjadi hambatan untuk pulang terlambat kerumah, lantas apa kabarnya tugas kuliah yg datang tak mengenal waktu? Harus kesana kesini demi contoh tugas. Tak mengeluh hanya tak mau mengkambing hitamkan organisasi. Yg jelas kuliah tak seenak ftv","Pas organisasi jadi halangan buat balek lama kerumah, laluh ape kabarnye kerjaan kuluyah nyang dateng kagak ngenal waktu? Kudu kesono kemari demi contoh kerjaan. Kagak ngedumel cume kagak mao ngambingitemin organisasi. Yang jelas kuluyah kagak seenak ftv"
"cc: @raffiahmadlagi RT @TRANS7: """"Senakal-nakalnya Lelaki dia akan memilih perempuan baik-baik untuk menjadi Ibu untuk anak-anaknya","cc @raffiahmadlagi RT @TRANS7: """"Sebader-badernye Laki die bakal milih wadon bae-bae buat jadi Enyak buat anak-anaknye"
bkn mksdku bkn mksdmu utk selalu meributkan hal yg itu2 saja~ ? Air Dan Api by Raffi Ahmad ? https://path.com/p/2MHtdu,bukan maksud guah bukan maksudluh buat sêlalu ngêrècètin hal nyang onoh-onoh baè~ ? Air dan Api olèh Raffi Ahmad ? https://path.com/p/2MHtdu
"Mau pergi? Silahkan.. :) Asal lo bisa jaga diri dan gak bakal nyesel,karna udah nyia-nyiain orang yg bener2 sayang sama lo :)","Mau merad? Gih dah.. :) Asal lo bise jage diri ama kaga bakal nyesel,karne udeh nyia-nyiain orang nyang bener-bener sayang ama lo :)"
tidak ada kursi didalam kamar. serta saluran tv nya banyak yg burem kaya semut berkerumun. tapi untuk kenyamanan kamar bagus,kagak adè korsi di dalêm pangkèng. sêrta saluran tipinyè banyak nyang rênyêk kayak sêmut bêkêrumun. tapi buat kênyamanan pangkèng cakêp
"Baru persiapan doang udah gosong gimana waktu gw ospek nanti, 6 hari dilatih militer coy. Naik outbound aja gw nangis anjir gegara takut sama ketinggian. Gimana pas diksarlin nanti omg","Baru persiapan doang udeh gosong begimane waktu aye ospek entar, 6 hari dilatih militer woy. Naek outbond aje aye ngenes sialan gare-gare iseng ame ketinggian. Begimane pas diksarlin entar ya tuhan"
"Tapi dari Sartre, banyak hal yang membuat saya harus sadar. Itu si, dan hal tersebut menjadi PR besar dalam hidup saya. Dan tidak dapat dipungkiri, Sartre sedikit banyaknya juga mempengaruhi pikiran saya. Tapi saya masih percaya Tuhan koq.","Tapi dari Sartre, banyak yang bikin aye kudu sadar. ntu si, ame hal ntu jadi PR gede dalem idup aye. Ame kagak dapet dipungkiri, Sarte sedikit banyaknye juge mempengaruhin pikirian aye. Tapi aye masih yakin Tuhan kok."
"Bapak Kos liat sinetron di ruang tengah. Bule dateng terus bilang ""Nangis-nangis terus, kenapa Indonesia bikin film nangis-nangis terus"" emmm kenapa kira2?","Bapak Kos delok sinetron di ruang tenge. Bule dateng trus bilang ""Mewek-mewek terus, kenape Indonesia bikin pelem mewek-mewek terus"" emmm kenape kire-kire?"
"Selama mreka di dlem kmr ak suruh pacarku bwa tmennya yg bisa berurusan dgn hal ghaib jg tuh. Selama di dlem kamar, yg ak dgr itu cinta teriak2, ketawa2 kunti, dan mengerang keras gt. Itu berlangsung hampir sejaman. #memetwit","Selama die-die pade di dalem pangkeng aye suruh cem-ceman aye bawa temennye nyang bise ngurusin hal goib juga tuh. Selama di dalem pangkeng, nyang aye denger ntu cinta gegerawakan, cekikikan kunti, ama ngerang keras gitu. Ntu kejadian ampir sejaman. #memetwit"
"Rupiah Tersungkur, Kemana Jokowi Effect Pergi? http://bitly.com/1Dox5bU ","Rupiah Nyungsep, kemane Jokowi epek minggat? http://bit.ly/1Dox5bU"
#Golkar #ARB polisi ringkus pria pelaku penusukan http://bit.ly/186RNTw,#Golkar #ARB polisi ringkus cowok plaku penusukan http://bit.ly/186RNTw
"Oppa nihhh aku ada flower bucket buat qm ,maafin aku udh bikin km ngambek krn gk ngabarin tadi, akuu sayang kamuuu","Babeh nihhh aye ade buket bunge buat elu ,maapin aye udeh buat elu ngambek karne kagak ngabarin tadi, ayee sayang eluuu"
"sebucin itukah aku? itu karena aku tulus sayang sm kamu maaf ini emg fakeworld, tp soal perasaan it's a real. sayang ya sayang, seneng ya seneng, sedih ya sedih. coba gimana caranya main di fakewolrd ini, tanpa pake perasaan yg real","budak cinte ituh kah aye? ituh karne aye tulus sayang ame elu maap inih emang dunie tipu-tipu, tapi soal rase ituh nyata. sayang ye sayang, sumringah ye sumringah, mewek ye mewek. coba gimane caranye maen di dunia tipu-tipu inih, tanpa pake perasaan nyang nyata"
"#Lounge Kesal di ejek miskin, orang ini beli mobil mahal pake uang recehan LOGAM http://dlvr.it/8l17bm  #Assadiqulhaq","#Ruangngasoh Dongkol diledekin miskin, orang ini beli mobil mahal pake duit recehan LOGAM http://dlvr.it/8I17bm  #Assadiqulhaq"
Klo kemaren2 sih aku emng gk pernh ngeplay video karena ya itu.. Takut gk bisa tidur.yg terakhir. Btw Semoga kita gk slh pilih jawaban aja buat voting selanjutnya.,Kalo maren-maren sih aye emang kagak pernah nyetel pideo karne ye ituh.. ngerih kagak bise. nyang paling akhir. Ngemeng-ngemeng Moga kite kagak saleh milih jawaban aje buat poting setlahnye.
"check in jam 7.30 malem, dikasih kamar 221 paling ujung jauh banget dari lift jd bumil tua yg lagi capek harus jalan lumayan jauh ke kamar. pas masuk kamar, kloset ga ada tutup dan ga ada lapisannya, jd kalo BAB/BAK pantat sakit. TV channel biasa dan wifi bad, air panas super lama panasnya, ac ga terlalu berasa. Nginep 2mlm, kapok.","masuk jem 7.30 malem, di kasih kamar 221 paling pojok jauh bener dari lip jadi wadon bunting tue yang lagi capek kudu jalan mayan jauh ke kamar. pas masuk kamar, jamban kagak ada tutup ame kagak ada lapisannye, jadi kalo BAB/BAK bol sakit. TIPI saluran biase ame wifi rungseb, aer panas lame bener panasnye, ac kagak terlalu berase. Nginep 2 malem, kapok."
"@RaffiAhmadLagi senyum istrimu @Lady6igi menarik hati, jagain dr para kumbang2 haha "," @RaffiAhmadLagi nyengir bini elu @Lagi6igi menarik ati, jagain dari pare kumbang-kumbang haha"
"Dokter sekali pegang pasien sekian menit, ratusan ribu..tp org lupa ngitung waktu yg diperlukan dokter buat sekolah, kuliah, praktikum ..","Dokter sekali pegang pasien berape menit, ratusan rebu..tapi orang lupe ngitung waktu nyang dibutuin dokter buat kolah, kuluyah, praktek .. "
"Nonton konser Afgan dulu ahh cus he's my favorite male singer. Ini baru namanya konser, lagunya bnyak n ngehits lg.... Ayyee!","Panteng konser Afgan dulu ah nyok die ntu penyanyi idola aye. Ini baru namanye konser, lagunye banyak ame  yang lagi tenar lagi.... nyok!"
Ini org wajib dipenjarakan [USERNAME] wajib dilaporkan..ini org yang memecah belah,Êni orang kudu dibuiin [USERNAME] kudu diaduin..êni orang nyang mêcah bêlah
"[USERNAME] [USERNAME] Berarti Yusufk09 seringnya nonton penyanyi dangdut yg cuma ""jual"" goyangan atau busana seksi dibanding suara bagus","[USERNAME] [USERNAME] Murun Yusufk09 sêringnyah nonton biduan dangdut nyang tibang ""jual"" goyangan atau busana bahènol dibanding suara cakêp"
"Ketika saya digombali murid saya, ""ibu cantik og bu,"" lalu saya salting dan eumph jawab kamu juga cantik kok.. Lalu emph.. Dibilang masih muda dan saya makin speechless..","Wayah ayè digombalin murid ayè, ""Ibu boto jugè bu,"" têrus ayè salèh tingkèh dan eumph jawab êlu gè boto kok.. Têrus emph.. Dibilang masing mudè dan ayè mangkin kagak bisè ngomong apè-apè.."
TV gak bisa di pakai  sinyal parabola nya lemah,Tipi kaga bise di pake  sinyal parabola nye lemah
ac nya aga bau,AC-nyè radè apêk
[USERNAME] grapari btc bandung ditulis buka 10:00 - 21:00 tapi barusan saya mau ganti simcard ke nano sim ditolak. Alasan sudah prepare tutup. Profesional ya ? [USERNAME],[USERNAME] grapari btc bandung dicatet buke 10:00 - 21:00 tapi barusan aye mao ganti kartu sim ke nano sim kagak diterime. Alesan udeh siap-siap tutup. Propesional ye ? [USERNAME]
Kamar mandi agak bau karena air tetesan AC.,Sumur mayan bau karne aer tetesan AC.
"Ustad radikal ya radikal tambah lagi disuap itu maunya dia terbukti 1T Rizik cabul dapat setelah kerahkan 212 yg tolol, sekarang pendukungnya cm bisa gigit jari dibodohi imam cabul kabur ke Arab.., makan tuh janji sorga. [URL]","Ustad radikal ye radikal tambeh lagi dicangap ntu maunye die terbukti 1T Rizik cabul dapet setelah ngumpulin 212 yang gebleg, sekarang pendukungnye tibang geragotin jari digeblegin imam cabul minggat ke Arab.., gegares noh janji surge. [URL]"
Selamt pagi kesyangan ku #rans aa @raffiahmadlagi mba @lady6igi love u,Selamet pagi kesayangan aye #rans abang @raffiahmadlagi mpo @lady6igi cinte elu
"ENGGAAAAAAA. KARNA SAYANG ITU TIDA MEMANDANG UMUR. KARNA AKU BAKALAN BUCININ PASANGAN AKU, JADI MAU TUA ATAU MUDA NYA DIA BAKALAN AKU IKUTIN TERUSSD","KAGAK. SOALNYE SAYANG NGTU KAGAK NGELIET UMUR. SOALNYE AYE BAKALAN CINTE BENER AME GACOAN AYE, JADI MAO TUE APE MUDE NYE DIE BAKALAN AYE INTILIN MULU"
"Hadapi Pilkada Serentak, PDIP Tidak Lagi Manfaatkan Jokowi Effect: PDIP sudah menekankan kepada setiap kaderny... http://bit.ly/1AZ5dxb ","Ngadepin Pilkade Barengan, PDIP Kagak Lage Manpaatin Jokowi Epek: PDIP udeh nekenin kepade setiep kadernye... http://bit.ly/1AZ5dxb "
ac nya gak dingin... cuma brasa dry tanpa cool,ac nye kaga adem... tibang brasa kering kagak adem
"Kebanyakan cewek kriteria nyari pacar pengen yg lucu, padahal kalo menurut cewek, ganteng= lucu. Jadi definisi lucu disini adalah ganteng. Kalian yg jele dan qismin tolong pahami ini...","Kebanyakan wadon kriteria nyari pacar pengen nyang lucu, pedahal kalo anggepan wadon, ganteng= lucu. Jadi depinisi lucu disini ntu ganteng. Lu-lu pade nyang jelek dan kismin tolong ngartiin eni..."
